,Load,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
33,1127.555084523788,1079.287,1065.8099,1069.7689,1088.4987,1371.88,1918.7432,2463.4119,2582.5823,2649.5605,2640.793,2517.726,2573.4617,2571.3083,2467.0073,2196.968,1848.3575,1794.9667,2092.1108,2097.2627,1923.3722,1545.5797,1389.5985,1184.234,1142.4005
34,185.50254050235537,178.92139,177.4235,177.59027,184.71268,212.59593,245.44264,262.83896,269.00082,268.4758,265.99707,262.7771,259.5639,262.4124,253.21054,263.60153,297.7997,335.31607,352.41528,345.59613,326.24017,292.1495,249.32246,207.5733,185.95044
35,256.2813998457938,240.50569,236.56961,237.02437,245.75664,300.1247,454.29486,590.74457,635.3386,651.6096,643.9306,614.51324,625.1732,628.4651,604.8508,547.7098,490.77383,503.04044,571.8537,574.43005,507.5458,424.02243,360.46976,284.38913,262.30807
3,185.46888811061447,185.4956,186.12608,188.56303,199.17755,206.1905,208.74496,210.09721,209.76643,209.00394,207.88226,206.93718,206.23099,206.57352,206.10593,203.33568,204.5769,204.34546,200.6195,197.27905,191.16698,187.09163,184.0538,183.49106,184.04715
4,189.55089805627324,186.39911,184.8977,189.79672,220.5441,303.9434,381.8582,395.36105,407.62433,405.01392,387.42664,394.54556,392.4399,382.6357,351.56967,318.18857,321.1467,353.8713,351.59744,328.03503,282.55444,249.28033,207.90227,195.45586,189.08078
5,154.53863363257364,154.56097,155.08624,157.11673,165.94441,171.80455,173.93298,175.03096,174.78416,174.14877,173.21414,172.42664,171.83826,172.1237,171.73405,169.42581,170.46002,170.26727,167.1627,164.37929,159.28647,155.89075,153.35951,152.89062,153.36578
6,64.8050254274593,64.81438,65.03465,65.83702,69.594986,72.045395,72.97537,73.41047,73.29486,73.02846,72.636536,72.35541,72.05955,72.17923,72.015854,71.04791,71.48158,71.39996,70.09886,68.93163,66.796005,65.37203,64.31056,64.11334,64.31318
7,242.47006969736063,237.34148,235.26907,242.34027,290.48337,377.4954,475.5811,491.2116,497.06766,511.66495,481.9799,489.19397,488.19928,476.93375,432.4218,396.54532,392.68216,429.02875,428.32388,402.42874,339.344,308.71835,259.745,250.97194,238.94823
9,95.39010598069946,95.40387,95.7281,96.909134,102.4407,106.04761,107.40378,108.03914,107.8868,107.49462,106.917725,106.43161,106.06845,106.24462,106.004135,104.57933,105.217705,105.085724,103.182396,101.46428,98.32074,96.224724,94.66228,94.372856,94.66617
10,101.88827585556484,98.9403,97.53815,101.56057,129.24825,187.88155,243.85173,260.51593,270.94272,267.6472,254.59047,258.82654,259.102,250.77336,226.01526,203.32826,209.8887,238.1512,237.61598,213.42221,178.90678,153.06651,117.16952,108.1934,102.06035
11,365.3920536699592,359.05542,353.7138,360.90146,426.08655,598.7007,753.6116,799.4347,808.0491,825.6543,786.3227,795.09625,792.5793,769.9863,694.0173,625.5701,622.9621,693.01904,690.35016,640.431,533.9694,477.51932,398.76175,378.46732,359.2956
12,175.0141641219993,172.74626,170.79106,175.44261,201.74922,265.63367,327.12006,345.1005,352.49503,352.59943,337.23853,343.34097,341.1931,332.44986,304.96207,277.41202,264.73865,300.04352,297.37393,278.32346,237.89369,217.50906,185.6409,178.67654,173.22691
13,286.6150087898778,286.65628,287.63068,291.41516,307.82483,318.35394,322.58472,324.6745,324.58023,322.98505,321.2516,319.79108,318.69983,319.22913,318.50656,314.2255,316.14368,315.78598,310.0282,304.8661,295.42056,289.12265,284.4281,283.55856,284.41794
14,118.32759550298212,118.3407,118.737686,120.21193,127.073616,131.54915,133.1775,134.01823,133.82924,133.34285,132.6271,132.02419,131.57361,131.7922,131.4939,129.72644,130.51826,130.3546,127.993614,125.8624,121.962944,119.36286,117.42475,117.06574,117.42053
15,157.77014669104793,157.79292,158.32918,160.28258,169.44531,175.39711,177.57004,178.69095,178.43906,177.79037,176.84215,176.03229,175.4315,175.72292,175.32518,172.96866,174.02444,173.80615,170.65817,167.81659,162.61726,159.15051,156.5664,156.08768,156.56073
16,216.6383015078445,215.59286,215.82083,221.69566,242.73532,265.3764,274.99066,278.53586,278.419,274.68848,274.76602,272.597,273.34323,270.19202,274.96942,291.5679,305.13184,316.49615,311.34198,300.0713,279.18585,256.1817,230.13358,219.13652,215.56432
17,318.722512468803,318.75778,319.85193,324.03964,342.28033,354.33194,359.03137,360.98615,360.4771,359.1668,357.25116,355.6151,354.40152,354.9901,354.1866,349.39493,351.55896,351.16138,344.75845,339.01797,328.51456,321.51114,316.29065,315.3237,316.27927
18,689.6150137696811,677.1536,668.045,698.08875,822.5636,1118.0096,1393.7081,1468.1393,1487.1151,1489.3037,1413.8789,1443.2753,1436.9949,1398.7593,1279.2616,1163.3861,1166.7089,1286.5004,1279.7605,1214.9739,1021.0664,902.83887,753.8993,719.97314,681.6772
20,253.6545858585856,253.68266,254.58488,257.90277,272.94135,281.99426,285.4878,287.28992,286.88498,285.8236,284.3081,283.01547,282.0497,282.49252,281.87866,278.0652,279.78732,279.43643,274.37524,269.80673,261.44757,255.87395,251.71913,250.94963,251.71017
23,892.5371798070067,876.7596,864.9414,886.6511,1029.9769,1462.2595,1845.519,1921.9514,1965.2908,1966.7363,1873.9686,1910.1932,1903.7445,1848.3544,1697.5273,1525.6892,1528.6458,1705.0314,1696.2977,1582.205,1345.0452,1175.5648,983.55615,936.27704,884.78436
24,126.32036045874032,126.33856,126.783646,128.40567,135.66821,140.43356,142.1671,143.09439,142.86911,142.34978,141.58583,140.94212,140.46114,140.69449,140.38026,138.47217,139.33453,139.17545,136.6393,134.36414,130.20128,127.425575,125.35655,124.97329,125.35205
25,181.3043437110479,180.50865,180.80582,184.50949,201.91103,219.76253,226.9821,229.01682,229.05838,226.10474,225.66147,224.49657,224.5293,222.86014,225.73431,236.86879,247.15192,254.55779,252.33386,242.40048,227.6527,209.01363,191.21019,182.39554,180.29909
26,145.17386318261634,141.87431,141.27133,144.05888,172.46368,236.17255,298.41052,319.54797,321.15277,324.694,309.2764,313.53366,311.39795,304.60837,278.5616,245.96495,246.4775,272.48306,271.9175,252.89304,210.42415,188.29964,159.39369,149.31561,143.06862
27,693.500928973007,683.75305,681.8803,710.82654,794.4218,974.59924,1140.1412,1188.9485,1205.4988,1194.5757,1158.8485,1175.0155,1182.9279,1149.5233,1075.7076,1004.6822,1015.47534,1079.1716,1079.95,1018.74194,908.9387,818.6887,729.37964,701.8799,687.42914
29,197.21269787911373,197.24115,197.91153,200.51564,211.78935,219.24641,222.07652,223.40056,223.04878,222.23802,221.04526,220.18987,219.28943,219.65369,219.15646,216.18419,217.5306,217.28214,213.3227,209.77072,203.27162,198.93817,195.70795,195.10963,195.70094
30,1167.965963556502,1144.3907,1135.9496,1152.9666,1420.5773,1958.9906,2494.7578,2624.9368,2678.833,2673.8132,2561.0427,2599.9375,2618.2483,2513.9817,2246.9846,1929.1865,1854.4747,2136.7656,2128.0776,1980.2552,1621.0049,1439.266,1247.7632,1207.5721,1161.4209
31,327.4568352660337,327.49307,328.61707,332.94113,351.62488,364.0422,368.5521,370.8786,370.35562,369.00952,367.02902,365.36047,364.1136,364.71835,363.89282,358.95758,361.1932,360.74005,354.20627,348.3085,337.51718,330.3219,324.95828,323.96484,324.94662
32,143.3075043949389,143.32814,143.81534,145.70758,153.91241,159.17697,161.29236,162.33725,162.29012,161.49252,160.6258,159.89554,159.34991,159.61456,159.25328,157.11275,158.07184,157.89299,155.0141,152.43304,147.71028,144.56133,142.21405,141.77928,142.20897
33,1104.9548406930228,1077.9779,1070.2666,1083.0305,1349.5947,1927.0869,2473.5913,2582.166,2649.8418,2633.6238,2522.3354,2565.531,2576.757,2478.2622,2223.365,1877.5706,1805.5939,2093.6501,2087.894,1932.8892,1547.3448,1391.3391,1184.427,1140.6831,1092.3165
34,180.03373481498213,177.9432,177.4235,184.39076,211.50642,245.40758,261.36697,269.03128,268.35922,262.95816,266.15082,259.9132,262.24213,252.3193,263.7311,298.5142,335.66635,352.5777,347.27686,326.6985,291.89636,249.22284,207.48758,185.98112,179.48395
35,246.78249653329388,241.03401,238.11877,246.46088,300.49033,448.85645,600.2563,634.9577,643.48315,649.2371,615.5691,623.9164,629.296,604.2776,544.676,488.88123,503.93967,571.48456,570.3186,511.5625,425.95715,361.1555,284.58017,263.02493,246.37956
